#iter      energy      fermi    charge
  0  -4845.101105  -5.025200  0.003568
  1  -4845.100999  -5.023800  0.007328
  2  -4845.101102  -5.030200  0.002971
  3  -4845.101012  -5.038400  -0.001630
  4  -4845.101093  -5.030000  0.003336
  5  -4845.101100  -5.030900  0.002661
  6  -4845.101104  -5.030500  0.003029
  7  -4845.101086  -5.028200  0.004445
  8  -4845.101086  -5.032500  0.001832
  9  -4845.101087  -5.026500  0.005197
 10  -4845.101102  -5.029800  0.003555
 11  -4845.101101  -5.029800  0.003368
 12  -4845.101090  -5.029800  0.003727
 13  -4845.101088  -5.027100  0.004862
 14  -4845.101098  -5.028400  0.004347
 15  -4845.101103  -5.028500  0.004163
 16  -4845.101091  -5.030700  0.003168
 17  -4845.101096  -5.031000  0.002526
 18  -4845.101091  -5.028600  0.004242
 19  -4845.101075  -5.024800  0.006291
